target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
CONFIRMED,9.48803557,2.26,93.59,793.0,5455.0,0.927,0.919,,2.9575,615.8,kepler,51.343210916167095,"{'planetary_radius': 0.9184635186715806, 'insolation_flux': 0.09221529196616696, 'equilibrium_temp': 0, 'orbital_period': 0.8174724770281785, 'stellar_temp': 0.8385, 'stellar_radius': 0.9848396573167436}",Moderate
CONFIRMED,54.4183827,2.83,9.11,443.0,5455.0,0.927,0.919,,4.507,874.8,kepler,63.1895645769736,"{'planetary_radius': 0.8959723288344854, 'insolation_flux': 0.5581254577456266, 'equilibrium_temp': 0, 'orbital_period': 0.9048059981714658, 'stellar_temp': 0.8385, 'stellar_radius': 0.9848396573167436}",High
CONFIRMED,2.525591777,2.75,926.16,1406.0,6031.0,1.046,1.095,,1.6545,603.3,kepler,48.16817057520459,"{'planetary_radius': 0.898839908832152, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7512946675882771, 'stellar_temp': 0.8734999999999999, 'stellar_radius': 0.9910053268714537}",Moderate
CONFIRMED,11.09432054,3.9,114.81,835.0,6046.0,0.972,1.053,,4.5945,1517.5,kepler,49.085203557383004,"{'planetary_radius': 0.86390234468644, 'insolation_flux': 0.05134428237885591, 'equilibrium_temp': 0, 'orbital_period': 0.8252925631840102, 'stellar_temp': 0.866, 'stellar_radius': 0.9943201050956604}",Moderate
CONFIRMED,4.13443512,2.77,427.65,1160.0,6046.0,0.972,1.053,,3.1402,686.0,kepler,48.33444289442119,"{'planetary_radius': 0.8981152679800752, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7759384329540624, 'stellar_temp': 0.866, 'stellar_radius': 0.9943201050956604}",Moderate
CONFIRMED,2.56658897,1.59,807.74,1360.0,6046.0,0.972,1.053,,2.429,226.5,kepler,49.76139633561886,"{'planetary_radius': 0.953626598376786, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.752099785883698, 'stellar_temp': 0.866, 'stellar_radius': 0.9943201050956604}",Moderate
CONFIRMED,3.709214104,1.16,500.46,1206.0,5833.0,1.022,0.974,,2.6302,131.1,kepler,51.96309747873521,"{'planetary_radius': 0.9851579994881727, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.770511898587154, 'stellar_temp': 0.9725, 'stellar_radius': 0.9956477016436974}",Moderate
CONFIRMED,9.27358173,2.47,41.85,649.0,4856.0,0.696,0.676,,3.2875,1288.3,kepler,51.80777476123656,"{'planetary_radius': 0.9095781849360114, 'insolation_flux': 0.25318164061290305, 'equilibrium_temp': 0, 'orbital_period': 0.8163293816481363, 'stellar_temp': 0.5389999999999999, 'stellar_radius': 0.9275188762704565}",Moderate
CONFIRMED,6.02930329,2.85,50.04,678.0,4537.0,0.672,0.761,,1.5821,1912.7,kepler,48.63945735710717,"{'planetary_radius': 0.8952681005719441, 'insolation_flux': 0.21743546288025795, 'equilibrium_temp': 0, 'orbital_period': 0.7948024706401385, 'stellar_temp': 0.37949999999999995, 'stellar_radius': 0.9205006123082025}",Moderate
FALSE POSITIVE,2.696370652,1.58,305.34,1066.0,4989.0,0.819,0.781,,3.6129,397.9,kepler,47.02871657133695,"{'planetary_radius': 0.9542575152961125, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7545662307582643, 'stellar_temp': 0.6054999999999999, 'stellar_radius': 0.9600657609741865}",Moderate
CONFIRMED,5.349553819,2.55,168.99,919.0,5185.0,0.91,0.831,,3.0278,831.0,kepler,47.02062479725851,"{'planetary_radius': 0.9063906640829665, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7888215554240758, 'stellar_temp': 0.7035, 'stellar_radius': 0.9811378641057518}",Moderate
CONFIRMED,3.94105221,1.7,253.15,1018.0,5185.0,0.91,0.831,,2.5984,363.3,kepler,48.084237415042715,"{'planetary_radius': 0.9469371748937829, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7735432847700464, 'stellar_temp': 0.7035, 'stellar_radius': 0.9811378641057518}",Moderate
CONFIRMED,8.10904807,1.3,97.03,800.0,5185.0,0.91,0.831,,3.596,217.4,kepler,51.374694698587895,"{'planetary_radius': 0.9737635735532509, 'insolation_flux': 0.08499595819255834, 'equilibrium_temp': 0, 'orbital_period': 0.8096199216647648, 'stellar_temp': 0.7035, 'stellar_radius': 0.9811378641057518}",Moderate
CONFIRMED,21.67699193,2.95,18.64,530.0,4954.0,0.828,0.791,,3.4555,857.2,kepler,56.40712800190967,"{'planetary_radius': 0.8918194829648272, 'insolation_flux': 0.41493803814851105, 'equilibrium_temp': 0, 'orbital_period': 0.858783468384896, 'stellar_temp': 0.5880000000000001, 'stellar_radius': 0.9622515750806245}",Moderate
CONFIRMED,4.99677968,2.78,166.95,917.0,5339.0,0.847,0.931,,2.1717,934.7,kepler,47.42569842771477,"{'planetary_radius': 0.8977549072297455, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7854105795152487, 'stellar_temp': 0.7805, 'stellar_radius': 0.9667890831339835}",Moderate
CONFIRMED,4.280963604,2.3,247.87,1012.0,5644.0,0.831,0.928,,2.875,750.8,kepler,49.42294518443997,"{'planetary_radius': 0.9167090877064896, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7776798037371967, 'stellar_temp': 0.933, 'stellar_radius': 0.9629749031746622}",Moderate
FALSE POSITIVE,1.50635409,4.53,1054.12,1452.0,5714.0,0.831,0.926,,1.5155,2211.7,kepler,47.217263782704755,"{'planetary_radius': 0.8489278060505057, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7254555085316271, 'stellar_temp': 0.968, 'stellar_radius': 0.9629749031746622}",Moderate
CONFIRMED,38.3775486,2.82,18.53,529.0,5481.0,1.036,0.915,,5.588,724.2,kepler,59.64591228287661,"{'planetary_radius': 0.8963263115049978, 'insolation_flux': 0.4161217919405463, 'equilibrium_temp': 0, 'orbital_period': 0.8873445283050311, 'stellar_temp': 0.8515, 'stellar_radius': 0.9929265712325417}",Moderate
CONFIRMED,41.19725502,3.86,8.76,439.0,5031.0,0.848,0.801,,4.6297,2213.9,kepler,60.106039070526506,"{'planetary_radius': 0.8649332816523261, 'insolation_flux': 0.56596081901034, 'equilibrium_temp': 0, 'orbital_period': 0.8908894788888462, 'stellar_temp': 0.6265000000000001, 'stellar_radius': 0.9670250713619531}",High
CONFIRMED,6.252962249,2.65,108.3,823.0,5031.0,0.848,0.801,,2.5819,1036.9,kepler,47.718157297117656,"{'planetary_radius': 0.902544036000187, 'insolation_flux': 0.06301896919861105, 'equilibrium_temp': 0, 'orbital_period': 0.7966236630337007, 'stellar_temp': 0.6265000000000001, 'stellar_radius': 0.9670250713619531}",Moderate
CONFIRMED,16.01308419,3.1,29.31,593.0,5015.0,0.826,0.785,,3.2554,1121.9,kepler,54.14640143610099,"{'planetary_radius': 0.8868597888508899, 'insolation_flux': 0.3244142490554398, 'equilibrium_temp': 0, 'orbital_period': 0.8436412049649453, 'stellar_temp': 0.6185, 'stellar_radius': 0.9617678989077681}",Moderate
CONFIRMED,32.62876672,3.36,15.55,506.0,5586.0,0.798,0.844,,4.7971,1804.8,kepler,60.25053333509951,"{'planetary_radius': 0.8788059026024887, 'insolation_flux': 0.4511878722749514, 'equilibrium_temp': 0, 'orbital_period': 0.8792306131683394, 'stellar_temp': 0.904, 'stellar_radius': 0.9548706636935343}",High
FALSE POSITIVE,2.701287801,6.54,527.81,1222.0,5550.0,0.91,0.889,,3.3827,860.4,kepler,45.67845111012242,"{'planetary_radius': 0.8122062834530892, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7546573286000977, 'stellar_temp': 0.886, 'stellar_radius': 0.9811378641057518}",Moderate
