target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source
CONFIRMED,9.48803557,2.26,93.59,793.0,5455.0,0.927,0.919,,2.9575,615.8,kepler
CONFIRMED,54.4183827,2.83,9.11,443.0,5455.0,0.927,0.919,,4.507,874.8,kepler
CONFIRMED,2.525591777,2.75,926.16,1406.0,6031.0,1.046,1.095,,1.6545,603.3,kepler
CONFIRMED,11.09432054,3.9,114.81,835.0,6046.0,0.972,1.053,,4.5945,1517.5,kepler
CONFIRMED,4.13443512,2.77,427.65,1160.0,6046.0,0.972,1.053,,3.1402,686.0,kepler
CONFIRMED,2.56658897,1.59,807.74,1360.0,6046.0,0.972,1.053,,2.429,226.5,kepler
CONFIRMED,3.709214104,1.16,500.46,1206.0,5833.0,1.022,0.974,,2.6302,131.1,kepler
CONFIRMED,9.27358173,2.47,41.85,649.0,4856.0,0.696,0.676,,3.2875,1288.3,kepler
CONFIRMED,6.02930329,2.85,50.04,678.0,4537.0,0.672,0.761,,1.5821,1912.7,kepler
FALSE POSITIVE,2.696370652,1.58,305.34,1066.0,4989.0,0.819,0.781,,3.6129,397.9,kepler
CONFIRMED,5.349553819,2.55,168.99,919.0,5185.0,0.91,0.831,,3.0278,831.0,kepler
CONFIRMED,3.94105221,1.7,253.15,1018.0,5185.0,0.91,0.831,,2.5984,363.3,kepler
CONFIRMED,8.10904807,1.3,97.03,800.0,5185.0,0.91,0.831,,3.596,217.4,kepler
CONFIRMED,21.67699193,2.95,18.64,530.0,4954.0,0.828,0.791,,3.4555,857.2,kepler
CONFIRMED,4.99677968,2.78,166.95,917.0,5339.0,0.847,0.931,,2.1717,934.7,kepler
CONFIRMED,4.280963604,2.3,247.87,1012.0,5644.0,0.831,0.928,,2.875,750.8,kepler
FALSE POSITIVE,1.50635409,4.53,1054.12,1452.0,5714.0,0.831,0.926,,1.5155,2211.7,kepler
CONFIRMED,38.3775486,2.82,18.53,529.0,5481.0,1.036,0.915,,5.588,724.2,kepler
CONFIRMED,41.19725502,3.86,8.76,439.0,5031.0,0.848,0.801,,4.6297,2213.9,kepler
CONFIRMED,6.252962249,2.65,108.3,823.0,5031.0,0.848,0.801,,2.5819,1036.9,kepler
CONFIRMED,16.01308419,3.1,29.31,593.0,5015.0,0.826,0.785,,3.2554,1121.9,kepler
CONFIRMED,32.62876672,3.36,15.55,506.0,5586.0,0.798,0.844,,4.7971,1804.8,kepler
FALSE POSITIVE,2.701287801,6.54,527.81,1222.0,5550.0,0.91,0.889,,3.3827,860.4,kepler
CONFIRMED,4.49876511,2.1,389.62,1133.0,6075.0,0.969,1.048,,3.7362,460.0,kepler
CONFIRMED,5.412203927,2.94,337.68,1093.0,5779.0,1.087,0.941,,2.9472,601.6,kepler
CONFIRMED,8.35389523,2.52,91.9,790.0,5592.0,0.787,0.862,,2.2514,1041.6,kepler
CONFIRMED,4.125543472,4.43,565.35,1243.0,6174.0,1.103,1.162,,3.1744,1487.3,kepler
CONFIRMED,3.689920099,1.89,408.99,1147.0,5880.0,0.917,1.01,,2.6557,426.7,kepler
CONFIRMED,4.431238488,3.25,351.23,1104.0,5714.0,1.015,1.007,,3.15,1010.9,kepler
CONFIRMED,11.37936986,3.95,99.68,806.0,5714.0,1.015,1.007,,2.6255,1023.5,kepler
CONFIRMED,26.39432897,3.07,13.49,489.0,5129.0,0.763,0.846,,3.573,1510.9,kepler
CONFIRMED,13.57078281,2.64,89.61,785.0,5854.0,1.012,0.951,,3.3539,511.7,kepler
CONFIRMED,7.12594387,1.79,233.31,997.0,5779.0,1.087,0.941,,3.0014,192.4,kepler
CONFIRMED,16.38489988,2.0,8.35,433.0,4126.0,0.615,0.633,,3.0249,1127.1,kepler
CONFIRMED,7.8774163,2.16,22.18,553.0,4126.0,0.615,0.633,,2.0805,1306.1,kepler
CONFIRMED,36.4454001,1.99,2.88,332.0,4126.0,0.615,0.633,,4.007,1122.3,kepler
CONFIRMED,2.243380573,1.99,107.6,822.0,4149.0,0.564,0.578,,1.1196,821.7,kepler
CONFIRMED,2.337437946,2.34,311.16,1070.0,5005.0,0.765,0.85,,1.9982,971.2,kepler
CANDIDATE,7.2406612,19.45,68.63,734.0,5005.0,0.765,0.85,,0.558,556.4,kepler
CANDIDATE,3.43591631,0.55,617.61,1272.0,5779.0,1.087,0.941,,3.133,23.2,kepler
CONFIRMED,19.27153892,1.93,5.66,393.0,4077.0,0.56,0.576,,2.7594,1219.8,kepler
CONFIRMED,10.06524317,1.91,13.43,488.0,4077.0,0.56,0.576,,1.369,1053.3,kepler
CONFIRMED,12.3935651,2.66,49.68,677.0,5557.0,0.75,0.832,,3.8896,916.6,kepler
CONFIRMED,43.84439721,2.87,18.77,531.0,5854.0,1.012,0.951,,6.802,615.2,kepler
FALSE POSITIVE,3.341913228,21.55,268.67,1032.0,5295.0,0.811,0.853,,3.813,725.3,kepler
FALSE POSITIVE,1.626630225,32.43,1355.88,1547.0,5735.0,0.973,0.889,,2.1145,1620.6,kepler
